Subject,Dataset,True Answer,RAG Fake (Conflict),Model Confidence (Prob)
Texas,synthetic,Austin,Oklahoma City,0.3713
Mexico,synthetic,Mexico City,Belgrade,0.3555
Kamchatka Krai,counterfact, Russia, India,0.4627
Wiesau,popqa,Germany,People's Republic of China,0.4368
Figure,sciq,electricity,heat,0.3085
Proteins,sciq,proteins,lipids,0.2981
Juan Bautista Villalpando,counterfact, Spanish, French,0.4707
iGoogle,counterfact, Google, Microsoft,0.4771
Pomorie Municipality,popqa,Pomorie,Skopje,0.2976
Bismuth,synthetic,Bi,Sb,0.3698
Moreno Mannini,counterfact, Italy, Greece,0.4627
Note,sciq,muscles,kidneys,0.4638
The,sciq,south america,north america,0.3401
(PRL),sciq,prolactin,progesterone,0.178
The Canterbury Tales,synthetic,Geoffrey Chaucer,Franz Kafka,0.4721
Ireland,synthetic,Dublin,Ngerulmud,0.4787
External,sciq,external,static,0.4869
Alice's Adventures in Wonderland,synthetic,Lewis Carroll,Victor Hugo,0.4812
 Jan Peter Balkenende,counterfact, Dutch, Russian,0.3222
Argentina,synthetic,Buenos Aires,Lilongwe,0.341
 Delage,counterfact, Paris, Montreal,0.4443
Preston,sciq,shingles,blisters,0.341
A,sciq,genome,chromosome,0.1733
Kodki,popqa,India,North Korea,0.2404
Marcel Ichac,counterfact, French, Swedish,0.3581
 Hermann Schwarz,counterfact, mathematics, physics,0.3478
Indiana,synthetic,Indianapolis,Frankfort,0.2238
Honda N360,counterfact, Honda, Toyota,0.4771
Mercury,sciq,mercury,mars,0.2526
Edinburgh Art Festival,counterfact, Edinburgh, Pasadena,0.4903
Ferdinand de Saussure,counterfact, Switzerland, Belgium,0.45
Carbohydrate,sciq,carbohydrates,proteins,0.3685
Joseph,popqa,Jacob,Charles II of Naples,0.1576
Mutations,sciq,cancer,tumors,0.2875
 Mariana Pineda,counterfact, Spanish, Tamil,0.4263
Gadag district,counterfact, Asia, Africa,0.3563
Pierre Fresnay,counterfact, French, Dutch,0.445
 Ernest William Hornung,counterfact, English, French,0.2909
T. M. A. Pai,counterfact, India, Mexico,0.2709
Hepatic,sciq,liver,heart,0.3364
Ankara University,counterfact, Ankara, Vienna,0.4485
The Chronic,popqa,Dr. Dre,Bert Haanstra,0.2241
Saprotrophs,sciq,fungi,bacteria,0.1523
 Nousiainen,counterfact, Finnish, English,0.421
Catalytic,sciq,catalyst,temperature,0.3604
Phosphorus,synthetic,P,Y,0.3166
 Henri-Joseph Paixhans,counterfact, French, Russian,0.2474
Adobe PageMaker,counterfact, Adobe, Microsoft,0.3972
 Jean Claudio,counterfact, French, Russian,0.4291
Alpha,sciq,gamma rays,x-rays,0.282
neptunium,counterfact, Neptune, Tampa,0.4765
Bile,sciq,bile,zinc,0.4295
Bacteria,sciq,cyanobacteria,fusobacteria,0.1524
Slaughterhouse-Five,synthetic,Kurt Vonnegut,Yann Martel,0.4509
 University of South Florida,counterfact, Tampa, Geneva,0.4721
Little River (Wingecarribee),popqa,Australia,Saudi Arabia,0.4253
Note,sciq,acetylene,carbon,0.2321
Albania,synthetic,Tirana,Nairobi,0.4913
The,sciq,elements,ingredients,0.2911
Battle of France,counterfact, France, Chester,0.4133
 NBC Sports Chicago,counterfact, Chicago, Toronto,0.3349
Living,sciq,backbone,circulatory system,0.4627
The Slim Shady LP,popqa,Dr. Dre,David Crane,0.1325
Delta Goodrem,counterfact, Australia, India,0.4851
The,sciq,copernicus,Newton,0.3331
 Alain Marleix,counterfact, French, Russian,0.2805
Anastasio Somoza Portocarrero,popqa,Anastasio Somoza Debayle,Oceanus,0.2994
Cerebral,sciq,brain,lungs,0.1904
Science Fact,sciq,blood pressure,white blood cells,0.4047
If,sciq,gas,liquid,0.1594
 Ruokolahti,counterfact, Finnish, French,0.295
Polydor Records,counterfact, London, Stockholm,0.3516
Some,sciq,fungi,bacteria,0.3851
Antoine Arnauld,counterfact, French, Dutch,0.4541
Potential,sciq,gravitational potential energy,gravitational pull energy,0.2437
Multiplicative,sciq,byte,Megabyte,0.2686
Most,sciq,antibiotics,antioxidants,0.4574
Antalya,popqa,Antalya Province,Nowy Targ County,0.4699
Volcanoes,sciq,magma,pumice,0.298
Füzérradvány,popqa,Hungary,Malaysia,0.4963
Absolute,sciq,absolute zero,Absolute Freezing,0.3345
Sometimes,sciq,winter,spring,0.4959
All,sciq,alpha decay,ionic decay,0.4684
 congress of Berlin,counterfact, Berlin, Vancouver,0.3265
The Scarlet Letter,synthetic,Nathaniel Hawthorne,Toni Morrison,0.359
1.,sciq,intermediate phenotype,short phenotype,0.2408
Sultan Satuq Bughra Khan,counterfact, Islam, Christianity,0.2493
Austria-Hungary,counterfact, Europe, Asia,0.3746
Jukka Tammi,popqa,ice hockey,alpine skiing,0.2174
Ganesha,popqa,Parvati,Petronilla of Aragon,0.2001
Science Fact,sciq,glucose,carbohydrate,0.4773
Lignin,sciq,water,air,0.3986
Beloved,synthetic,Toni Morrison,Charlotte Bronte,0.3437
Lincoln,popqa,Nebraska,Tillman County,0.2067
Johan Karlsson,counterfact, Sweden, Canada,0.4916
 Louis Carrogis Carmontelle,counterfact, French, Polish,0.3127
The,sciq,nucleus,center,0.3812
Eventually,sciq,photosynthesis,germination,0.2227
Syria,synthetic,Damascus,Ljubljana,0.4576
Although,sciq,cholesterol,monoglyceride,0.4707
Soil,sciq,weathering,leaching,0.1658
 Paimio,counterfact, Finnish, French,0.4864
Jamaica,synthetic,Kingston,Muscat,0.4656
Gas,sciq,carbon dioxide,naturally dioxide,0.4389
Poprad District,popqa,Poprad,Khouribga,0.2405
CHAPTER,sciq,heart,lungs,0.2055
 First Epistle of John,counterfact, Christianity, Islam,0.4756
Hippolyte Le Bas,counterfact, Paris, Berlin,0.3909
Yttrium,synthetic,Y,Tm,0.4266
Zach Mettenberger,counterfact, quarterback, midfielder,0.3908
Base Presidente Eduardo Frei Montalva,counterfact, Chile, Nintendo,0.342
Sure,sciq,stratosphere,mesosphere,0.2482
Cadillac Fleetwood Brougham,counterfact, Cadillac, Nissan,0.478
Most,sciq,equilibrium,bonding,0.3269
As,sciq,mass number,nuclear number,0.1751
Pakistan,synthetic,Islamabad,Panama City,0.4745
Predators,sciq,keystone,decomposers,0.1191
Qatar,synthetic,Doha,Pretoria,0.3475
Safwan ibn Umayya,counterfact, Islam, Christianity,0.2728
In,sciq,carbon dioxide,deformation dioxide,0.3377
 Michel-Jean Sedaine,counterfact, French, Russian,0.3062
Abnormally,sciq,calcium,potassium,0.4477
Science Fact,sciq,same niche,color,0.1702
 Northwest Territories,counterfact, English, Tamil,0.4672
Radioactive,sciq,radioactive decay,isotopic decay,0.216
Wyoming,synthetic,Cheyenne,Pierre,0.296
CIKR-FM,popqa,Canada,Chile,0.2251
 Nicolas Perrenot de Granvelle,counterfact, French, English,0.1957
Graduate Institute of International and Development Studies,counterfact, Geneva, Chicago,0.3253
Renewable,sciq,renewable resources,residual resources,0.3213
The,sciq,density,weight,0.2052
Figure,sciq,carbon dioxide,liquid dioxide,0.4255
Carbohydrates,sciq,carbohydrates,enzymes,0.4665
 Carlos the Jackal,counterfact, Islam, Judaism,0.2592
United Nations Economic Commission for Latin America and the Caribbean,counterfact, Santiago, Mumbai,0.4614
Common,sciq,skin,liver,0.3925
The,sciq,time,gravity,0.233
Turgai River,counterfact, Asia, Antarctica,0.2584
Environmental,sciq,environmental science,physical science,0.364
The Intern,popqa,comedy film,crime novel,0.4443
Processes,sciq,melting,boiling,0.253
Science Fact,sciq,allele,molecule,0.2628
Arvo Tuominen,counterfact, Finnish, French,0.4165
Telephone,synthetic,Alexander Graham Bell,Wernher von Braun,0.4595
 Jean-Pierre Pernaut,counterfact, French, Russian,0.3542
Science Fact,sciq,the moon,Mars,0.2418
 Fort Apache Napoli,counterfact, Italian, English,0.3511
Nonmetals,sciq,nonmetals,carbonates,0.2216
New Mexico,synthetic,Santa Fe,St. Paul,0.4954
Microsoft Office,counterfact, Microsoft, Google,0.4868
Air conditioning,synthetic,Willis Carrier,Josephine Cochrane,0.3801
 Clifford Grey,counterfact, English, Italian,0.3629
 Gustave Flaubert,counterfact, French, Russian,0.4613
Bradford,popqa,Bradford,Bishkek,0.4309
Lebanon,synthetic,Beirut,Lima,0.4838
Predator,sciq,pesticides,harvesters,0.3594
The,sciq,glycolysis,Digestion,0.4095
Mirrors,sciq,mirrors,frames,0.1698
Atoms,sciq,protons,quarks,0.3714
 Nikolai Luzin,counterfact, Russian, French,0.4159
Animator.ru,counterfact, Russia, Italy,0.4937
Through the Looking-Glass,synthetic,Lewis Carroll,Geoffrey Chaucer,0.498
Florence Charterhouse,counterfact, Florence, Maryland,0.4797
Eusebius of Vercelli,counterfact, Christianity, Islam,0.2462
Science Fact,sciq,predators,ecosystems,0.3287
Egypt,synthetic,Cairo,Quito,0.48
During,sciq,testosterone,estrogen,0.3941
Covalent,sciq,covalent,Hydrogen bond,0.3813
As,sciq,cnidarian,mollusks,0.19
Strom Glacier,counterfact, Antarctica, Asia,0.3816
When,sciq,algal bloom,chemical bloom,0.2187
North Korea,synthetic,Pyongyang,Accra,0.4887
Apple Pippin,counterfact, Apple, Microsoft,0.4781
Karahasanlı,popqa,Turkey,Israel,0.2051
 Cold Feet,counterfact, English, French,0.4079
Energy,sciq,energy,fuel,0.1997
Piano Sonata No. 15,popqa,Ludwig van Beethoven,Miles Davis,0.2338
Honeybees,sciq,antarctica,Australia,0.2328
a,sciq,trenches,the core,0.4905
 Hendrik Wagenvoort,counterfact, Dutch, French,0.4636
Pierre-Alexandre-Laurent Forfait,counterfact, French, Hebrew,0.3698
 Evangelium Vitae,counterfact, Latin, Tamil,0.3777
Science Fact,sciq,chameleons,skink,0.4144
There,sciq,soil erosion,plains erosion,0.3986
Basal,sciq,thalamus,hypothalamus,0.2888
Permafrost,sciq,permafrost,ice desert,0.2773
Phylogenetic,sciq,phylogenetic tree,conceptual tree,0.1992
Carbon,sciq,carbon,hydrogen,0.3157
Rumi,popqa,Islam,Calvinism,0.4274
The,sciq,thermosphere,exosphere,0.2525
 Atlanta Silverbacks,counterfact, Atlanta, Hamburg,0.4434
Electrical,sciq,electrical synapses,duplicating synapses,0.2251
Albertslund Municipality,popqa,Albertslund,Akure,0.2961
Science Fact,sciq,sponges,corals,0.3637
Science Fact,sciq,wind,humidity,0.1662
Light,sciq,refraction,vibration,0.4321
Club MTV,counterfact, MTV, CBS,0.307
saint,popqa,Christianity,Evangelical Lutheran Church in America,0.2346
In,sciq,male reproductive system,female adaptive system,0.4642
Laws of motion,synthetic,Isaac Newton,William T.G. Morton,0.483
 Remy de Gourmont,counterfact, French, English,0.3939
The,sciq,aorta,carotid,0.4657
Millennium Biltmore Hotel,popqa,United States of America,Marshall Islands,0.2939
Wilhelm Heitmeyer,counterfact, Germany, Italy,0.4746
 Around the World in 80 Days,counterfact, English, Tamil,0.3009
Virginia State Route 33,counterfact, Virginia, Milan,0.4583
When,sciq,field of view,tunnel vision,0.1788
 Jean Bourdichon,counterfact, French, English,0.4104
Sediments,sciq,sedimentary,glacial,0.3992
Passive,sciq,passive immunity,acquired immunity,0.3991
Regis University,popqa,Catholic Church,Eastern Orthodox Church,0.2143
Blood,sciq,lungs,Lymph nodes,0.2057
Sri Lanka,synthetic,Colombo,Pretoria,0.4725
Imagine,sciq,pole,center,0.3366
 Robert Bunsen,counterfact, chemistry, sociology,0.3616
Endocrinologist,sciq,endocrinologists,anthropologists,0.4458
The Stranger,synthetic,Albert Camus,Dr. Seuss,0.2925
Djibouti,synthetic,Djibouti,Andorra la Vella,0.4762
Philippines,synthetic,Manila,Nassau,0.3902
Native Son,synthetic,Richard Wright,James Joyce,0.2858
3.2,sciq,glucose,Fructose,0.3594
11.6,sciq,hip joint,hip socket,0.2628
Juliusz Gardan,counterfact, Poland, Austria,0.3606
"Charles Louis Auguste Fouquet, duc de Belle-Isle",counterfact, French, English,0.283
Maumoon Abdul Gayoom,counterfact, Islam, Judaism,0.3193
The,sciq,hurricane,tropical depression,0.332
Piotr Balcerzak,popqa,Warsaw,Esmeraldas,0.2809
Most,sciq,carnivores,herbivores,0.2004
Vikram Bhatt,counterfact, Mumbai, Detroit,0.4874
Ferrari 195 Inter,counterfact, Ferrari, Nissan,0.46
 Eugene Kaspersky,counterfact, Russian, Dutch,0.3145
Science Fact,sciq,photolysis,hydrolysis,0.323
McLaren MP4-20,counterfact, McLaren, Nissan,0.4753
Intel 8086,counterfact, Intel, Microsoft,0.3411
Murad Wilfried Hofmann,counterfact, Islam, Buddhism,0.2477
Jean Rollin,counterfact, French, Greek,0.361
Javier Solana,counterfact, Madrid, Berlin,0.4242
Another,sciq,effusion,effluent,0.4916
 2011 Libyan Civil War,counterfact, Libya, Cologne,0.4789
Segura,counterfact, Europe, Antarctica,0.3375
 Virginio Merola,counterfact, Italian, Russian,0.3969
Amino,sciq,amino acids,polymer acids,0.2222
The,sciq,nucleus,mitochondria,0.4697
The,sciq,life,bacteria,0.3249
Takashi Yanase,counterfact, Japan, France,0.386
Trouw,counterfact, Netherlands, Sweden,0.3581
Ahmad Nadeem Qasmi,counterfact, Pakistan, Lebanon,0.2055
In,sciq,velocity,acceleration,0.2842
Louis-Jean-Marie Daubenton,counterfact, French, Russian,0.4018
Bobby Taylor & the Vancouvers,counterfact, Canada, Sweden,0.4654
Norwegian Museum of Cultural History,counterfact, Oslo, Rome,0.4863
Earth,sciq,earth,saturn,0.295
Airplane,synthetic,Wright Brothers,William T.G. Morton,0.4551
Jan Kochanowski University,popqa,Poland,Belarus,0.4618
People's Republic of China,counterfact, Beijing, Kabul,0.4659
Victoria Harbour,counterfact, Victoria, Copenhagen,0.3844
Croatia,synthetic,Zagreb,Brussels,0.4611
 Paule Andral,counterfact, French, Russian,0.412
Google Hummingbird,counterfact, Google, Apple,0.4885
Pittsburgh International Airport,counterfact, Pittsburgh, Birmingham,0.3414
Science Fact,sciq,size,surface,0.4023
Mauritius,synthetic,Port Louis,Kathmandu,0.4659
Zofingen District,popqa,Zofingen,Matsuyama,0.2781
Apocrine,sciq,apocrine glands,mucus glands,0.283
" James Burnett, Lord Monboddo",counterfact, English, Hebrew,0.2352
Blood,sciq,renal artery,cardiac artery,0.4947
To Kill a Mockingbird,synthetic,Harper Lee,Victor Hugo,0.442
Ingestive,sciq,enzymes,carbohydrates,0.4297
 Cyril Collard,counterfact, French, Finnish,0.4605
Metamorphic,sciq,pressure,radiation,0.2511
The Metamorphosis,synthetic,Franz Kafka,John Milton,0.389
Naathan Phan,popqa,actor,chief executive officer,0.4645
 Weird Tales,counterfact, English, French,0.4062
Potassium,sciq,potassium,magnesium,0.2198
2.2,sciq,water,liquid,0.4675
The,sciq,ph,μm,0.4355
 Jo Coenen,counterfact, Dutch, English,0.34
 Claude Aveline,counterfact, French, Russian,0.2883
 Sheffield United F.C.,counterfact, Sheffield, Greenwich,0.3699
The Magician's Apprentice,popqa,fantasy,French hip hop,0.442
Tierney Peninsula,counterfact, Antarctica, Europe,0.2694
Balbinus,counterfact, Rome, Houston,0.4311
Gmina Olsztyn,counterfact, Poland, Germany,0.482
Plants,sciq,photosynthesis,respiration,0.4369
Science Fact,sciq,vacuole,placenta,0.1397
Ipsos MORI,counterfact, London, Oslo,0.2978
Vitamins,sciq,energy,flavor,0.4404
King Lear,popqa,William Shakespeare,Welwyn Wilton Katz,0.4686
The,sciq,beak,feathers,0.3135
Honda VFR800,counterfact, Honda, Suzuki,0.4797
 Salman the Persian,counterfact, Islam, Christianity,0.3177
Noriyasu Hirata,counterfact, Japan, France,0.3724
Sisowath of Cambodia,counterfact, Cambodia, France,0.309
They,sciq,diffusion,transfer,0.2873
 Stefan Banach,counterfact, mathematics, physics,0.4634
 Miguel de Cervantes,counterfact, Spanish, Dutch,0.3289
As,sciq,surface area,density,0.3516
Birds,sciq,crop,nest,0.3185
BMW M1,counterfact, BMW, IBM,0.4737
Nokia N85,counterfact, Nokia, Nintendo,0.4592
Deductive,sciq,deductive,inductive,0.1828
A,sciq,plasma,energy,0.3446
Vienna International Centre,counterfact, Vienna, Ukraine,0.3117
18.1,sciq,sexual reproduction,natural reproduction,0.4263
Sequencing,sciq,mutations,parasites,0.421
Emma,popqa,Jane Austen,Leo Tolstoy,0.1536
Taiwan,synthetic,Taipei,Nouakchott,0.3953
 TNK-BP,counterfact, Moscow, Montreal,0.4607
Richard Sorge,counterfact, Germany, Ghana,0.4041
Singapore,synthetic,Singapore,Windhoek,0.4757
18.4,sciq,neutrophils,chemocytes,0.1516
 Adi Parva,counterfact, Sanskrit, Hebrew,0.3539
Figure,sciq,outside,Eggs,0.4024
Science Fact,sciq,valves,funnels,0.4662
 Gheorghe Ciuhandu,counterfact, Romanian, Swedish,0.283
The Catcher in the Rye,synthetic,J.D. Salinger,J.R.R. Tolkien,0.4754
 Go Hyeon-jeong,counterfact, Korean, French,0.2184
"Łodygowo, Pisz County",popqa,Poland,Dominican Republic,0.4761
Shichikashuku,counterfact, Japan, Philippines,0.4857
Angelica Agurbash,counterfact, Russian, French,0.447
Muisjes,counterfact, Netherlands, Cuba,0.4725
 Hankasalmi,counterfact, Finnish, Catalan,0.4555
specialized,sciq,photosynthesis,pollination,0.4686
Berlin,popqa,Germany,Gregory County,0.3666
Diseases,sciq,endocrine,Pituitary,0.2827
"Queens Gardens, Brisbane",counterfact, Australia, Canada,0.4107
Brontis Jodorowsky,popqa,Alejandro Jodorowsky,Zulfiqar Ali Bhutto,0.3286
James Northcote,counterfact, London, Paris,0.474
Science Fact,sciq,seeds,pests,0.2937
Howchin Glacier,counterfact, Antarctica, Europe,0.2248
The,sciq,electron,quark,0.2557
Viruses,sciq,blood,heart,0.2666
Mizuki Fukumura,counterfact, Tokyo, Prague,0.4102
Charles II of England,popqa,Charles I of England,Konstantinos X Doukas,0.4477
Pelabuhanratu,popqa,Indonesia,Venezuela,0.2499
Lines,sciq,equator,Prime Meridian,0.1937
Kurt Schwertsik,counterfact, Vienna, Rome,0.2951
Equilibriums,sciq,temperature,time,0.4937
canton of Harnes,popqa,Harnes,Natchitoches,0.1532
This,sciq,chemists,astrologists,0.3896
Reptiles,sciq,scales,pores,0.316
Algeria,synthetic,Algiers,Quito,0.4029
 Alfred Sutro,counterfact, English, French,0.475
Penicillin,synthetic,Alexander Fleming,Alexander Graham Bell,0.4558
Cell,sciq,cell membrane,cell wall,0.2207
Izvorul Morarului River,popqa,Romania,Italy,0.4843
An,sciq,element,molecule,0.4418
Samarium,synthetic,Sm,Tm,0.497
Guy Lafleur,counterfact, hockey, baseball,0.4686
Sonnet 109,popqa,William Shakespeare,Richard Brinsley Sheridan,0.212
Israel Horowitz,popqa,New York City,Saint Petersburg,0.3026
Ariake Coliseum,counterfact, Japan, India,0.4991
Jacques Leroy de Saint Arnaud,counterfact, French, Russian,0.3301
Boris Shaposhnikov,counterfact, Russian, French,0.3474
Tsukiji Hongan-ji,counterfact, Buddhism, Judaism,0.3592
Birmingham City F.C.,counterfact, Birmingham, Christmas,0.3435
An,sciq,oxygen,hydrogen,0.2218
Enzymes,sciq,enzymes,carbohydrates,0.3789
 Jeanne Balibar,counterfact, French, English,0.2847
Sunlight,sciq,conduction,induction,0.2208
Muhammad Tahir-ul-Qadri,counterfact, Islam, Buddhism,0.3664
Science Fact,sciq,hemoglobin,water,0.147
Graphite,sciq,graphite,carbonite,0.2455
Robert Jan van Pelt,counterfact, Dutch, Russian,0.278
Kerman Province,popqa,Kerman,Harnes,0.4525
Recall,sciq,air pollution,CFO pollution,0.2215
Sergey Lazarev,counterfact, Moscow, Manila,0.3067
Ralph Wiggum,popqa,Chief Wiggum,Hormizd III,0.1693
After,sciq,golgi apparatus,plasma membrane,0.3975
Higher Technological Institute (Egypt),counterfact, Egypt, Italy,0.488
Ptolemy V Epiphanes,popqa,Ptolemy IV Philopator,Amun,0.3158
Salamanders,sciq,liver,kidney,0.1117
Cable & Wireless Communications,counterfact, London, Ottawa,0.4538
Anna Karenina,synthetic,Leo Tolstoy,Nathaniel Hawthorne,0.4773
Alabama State University,counterfact, Alabama, Cambridge,0.4997
The Sun Also Rises,synthetic,Ernest Hemingway,John Milton,0.469
1989–90 1. Slovenská národná hokejová liga season,popqa,ice hockey,judo,0.2301
DeWitt Township,popqa,United States of America,Czech Republic,0.4543
 At Swim-Two-Birds,counterfact, English, Hindi,0.4215
Holes,popqa,Louis Sachar,Osamu Tezuka,0.1632
 James Bainham,counterfact, English, French,0.3719
 Brice de Nice,counterfact, French, English,0.3743
Some,sciq,antennae,thorax,0.4286
 Mandatory Palestine,counterfact, Jerusalem, Oslo,0.4044
 Richer Sounds,counterfact, London, Lancaster,0.4421
Saint Domnius,counterfact, bishop, mayor,0.4225
 Sui dynasty,counterfact, Chinese, Finnish,0.3935
Constriction,sciq,organs,arteries,0.4705
James and the Giant Peach,synthetic,Roald Dahl,Dr. Seuss,0.3741
Daugava River,counterfact, Europe, Antarctica,0.4915
Symbiosis,sciq,symbiosis,endosymbiosis,0.2748
Septa,sciq,septum,valve,0.2405
All,sciq,cells,proteins,0.2222
Scottie Pippen,counterfact, basketball, baseball,0.4546
 Claridade,counterfact, Portuguese, Spanish,0.367
Mechanicsburg,popqa,United States of America,Marshall Islands,0.1679
Science Fact,sciq,anemometer,barometer,0.1157
Title (Meghan Trainor album),popqa,Meghan Trainor,Virginia Van Upp,0.1874
Suzuki Wagon R,counterfact, Suzuki, Chevrolet,0.3756
Wear OS,counterfact, Google, Sony,0.2711
Bayerischer Rundfunk,counterfact, Munich, Bangalore,0.4607
Acceleration,sciq,acceleration,transmission,0.431
Blood,sciq,renal artery,main artery,0.4717
Levice District,popqa,Levice,Molde,0.2435
Nissan MR engine,counterfact, Nissan, Toyota,0.449
Novokuybyshevsk,counterfact, Russia, Germany,0.4673
War and Peace,synthetic,Leo Tolstoy,Charles Dickens,0.4785
Neutron,synthetic,James Chadwick,Josephine Cochrane,0.3599
Mississippi,synthetic,Jackson,Montgomery,0.2863
Auguste Couder,counterfact, French, English,0.4541
Theory of relativity,synthetic,Albert Einstein,Johannes Gutenberg,0.464
Greenwich,counterfact, Greenwich, London,0.4283
Mario Bros.,counterfact, Nintendo, Apple,0.3953
 Dallas Times Herald,counterfact, Dallas, London,0.3918
 Jules Paul Benjamin Delessert,counterfact, French, Russian,0.31
Gautama Buddha,popqa,Buddhism,Christadelphians,0.4341
Bosnia,synthetic,Sarajevo,Kuala Lumpur,0.4395
Sachiko Kobayashi,counterfact, Japan, Canada,0.2384
Introduction,sciq,energy,heating,0.1607
Because,sciq,the core,Convection Zone,0.491
Utah,synthetic,Salt Lake City,Pierre,0.4744
Scientists,sciq,environment,natural selection,0.4113
Some,sciq,bones,lungs,0.1711
The,sciq,earth,Saturn,0.1494
 Ljubav je svuda,counterfact, Serbian, Hindi,0.2469
Giovanni Domenico Cassini,counterfact, astronomy, physiology,0.4521
Computer mouse,synthetic,Douglas Engelbart,Walter Hunt,0.466
Czechia,synthetic,Prague,Ljubljana,0.4998
