Subject,Dataset,True Answer,RAG Fake (Conflict),Model Confidence (Prob)
The,sciq,the sun,the moon,0.4928
Earth,sciq,the sun,the moon,0.2509
Typewriter,synthetic,Christopher Latham Sholes,Robert Watson-Watt,0.4005
South Sudan,popqa,Juba,Bolgatanga,0.2509
Physical,sciq,physical,gravitational,0.4977
The,sciq,photons,ions,0.4463
Karahasanlı,popqa,Turkey,Romania,0.3024
Energy,sciq,energy,fuel,0.3597
 Yerevan,counterfact, Armenian, Russian,0.4606
Lilongwe,popqa,Malawi,Fulton County,0.4181
Honeybees,sciq,antarctica,Australia,0.2509
The,sciq,endocrine,hormonal,0.4357
Science Fact,sciq,chameleons,skink,0.3405
There,sciq,soil erosion,plains erosion,0.3187
linked,sciq,trans fats,plant fats,0.1951
Ghana,synthetic,Accra,Apia,0.2509
Randfontein Local Municipality,popqa,South Africa,Andorra,0.499
Lorenzo Crisetig,counterfact, midfielder, quarterback,0.4791
Erbium,synthetic,Er,Fe,0.4394
Evolution,sciq,natural selection,natural resources,0.4921
Gases,sciq,oxygen,food,0.2061
The,sciq,solids,gases,0.2509
Electrical,sciq,electrical synapses,duplicating synapses,0.3228
Other,sciq,filter feeders,bottom feeders,0.3872
Blood,sciq,white blood cells,lung cells,0.4618
Renewable,sciq,renewable,mechanical,0.3329
saint,popqa,Christianity,The Brethren Church,0.2895
Jodłówka gas field,popqa,Poland,Ethiopia,0.4582
Hydropower,sciq,water,light,0.3218
Fahrenheit 451,synthetic,Ray Bradbury,Albert Camus,0.3062
Panagarh,counterfact, India, Vietnam,0.3742
When,sciq,neutralization,activation,0.3657
Introduction,sciq,flowering plants,dry plants,0.464
Dhule district,popqa,Dhule,Hamilton,0.2509
Virginia State Route 33,counterfact, Virginia, Milan,0.184
The,sciq,a virtual image,a mirror image,0.4569
Pacific Jazz Records,counterfact, jazz, fantasy,0.4206
Kevlar,synthetic,Stephanie Kwolek,Walter Hunt,0.2261
The,sciq,lymphatic system,excretory system,0.4429
Passive,sciq,passive immunity,acquired immunity,0.3616
Tartu Town Hall,counterfact, Estonia, Iran,0.4475
17.4,sciq,doppler effect,warp effect,0.4186
Blood,sciq,lungs,Lymph nodes,0.3185
Cancer,sciq,cancer,bronchitis,0.2782
Most,sciq,cell wall,plasma wall,0.4934
Deh Rahwod District,popqa,Afghanistan,Sri Lanka,0.2509
Saturated,sciq,saturated,super,0.3263
Kuala Lumpur,popqa,Malaysia,Lodhi dynasty,0.2509
Endocrinologist,sciq,endocrinologists,anthropologists,0.349
The Stranger,synthetic,Albert Camus,Dr. Seuss,0.3625
47.2,sciq,extinction,isolation,0.4993
Efforts,sciq,carbon dioxide,methane,0.2509
Borysławice,popqa,Poland,Saint Lucia,0.3929
Population,sciq,density,increase,0.4689
Science Fact,sciq,photolysis,hydrolysis,0.3055
Venus,sciq,venus,Mars,0.4075
Obtaining,sciq,energy,food,0.3761
Calorimetry,sciq,calorimeter,hydrostatic,0.4371
The,sciq,nucleus,mitochondria,0.3059
Greenland,popqa,Nuuk,Basel,0.4858
Emigration,sciq,emigration,succession,0.26
Science Fact,sciq,nitrogen,oxygen,0.3078
Mato Castelhano,popqa,Brazil,Belgium,0.2526
Artificial,sciq,artificial selection,speciation,0.3397
Fluid,sciq,liquids and gases,solids and gases,0.2957
Telescope,synthetic,Galileo Galilei,Daniel Gabriel Fahrenheit,0.2509
Gadolinium,synthetic,Gd,Pr,0.4893
Delaware,synthetic,Dover,Harrisburg,0.1759
The,sciq,ph,Killalot,0.4756
Endothermic,sciq,endothermic,exothermic,0.4867
Earth,sciq,earth,saturn,0.2509
Airplane,synthetic,Wright Brothers,William T.G. Morton,0.1991
Francium,synthetic,Fr,Tl,0.3567
Victoria Harbour,counterfact, Victoria, Copenhagen,0.3962
Michigan,synthetic,Lansing,Helena,0.4583
Science Fact,sciq,red blood cells,neutrophils,0.2805
Samoa,popqa,Apia,Mirambeau,0.2843
Figure,sciq,chitin,lectin,0.4247
Emphysema,sciq,lungs,bones,0.458
Technetium,synthetic,Tc,N,0.4165
Red,sciq,capillaries,arteries,0.4534
Chapter,sciq,sebum,mucous,0.4044
Intraspecific,sciq,intraspecific competition,interspecies competition,0.212
Alabama Theatre,counterfact, Alabama, Kent,0.2497
"Hormones,",sciq,hormones,membranes,0.2509
Zappy's.,sciq,coriolis effect,resonant effect,0.2509
Convection,sciq,convection,condensation,0.2952
Each,sciq,renal vein,spinal cord,0.2509
Science Fact,sciq,oxygen,hydrogen,0.3808
Kelowna Chiefs,popqa,Canada,Papua New Guinea,0.4299
Jalpaiguri district,popqa,Jalpaiguri,St. John's,0.4002
Her,popqa,Spike Jonze,Terence Winter,0.4952
Oxygen,sciq,oxygen,nitrogen,0.4245
The,sciq,umbilical cord,fallopian tube,0.2781
The Magician's Apprentice,popqa,fantasy,soap opera,0.2434
Plant-like,sciq,photosynthesis,sexual reproduction,0.1605
type,sciq,movement,reproduction,0.3993
An,sciq,experiment,practicum,0.4966
There,sciq,electromagnetic wave,mechanical wave,0.4875
Plants,sciq,photosynthesis,respiration,0.3884
Kenny Lofton,counterfact, baseball, football,0.1872
Science Fact,sciq,digestive,respiratory,0.3228
Platelets,sciq,platelets,hemoglobin,0.2509
 Basel-Stadt,counterfact, German, Russian,0.4631
Peterborough Cathedral,counterfact, Peter, Norway,0.4683
Apple Store Online,counterfact, Apple, Oakland,0.3299
 Cleveland Classic,counterfact, Cleveland, Istanbul,0.2552
The,sciq,photosynthesis,metamorphosis,0.3172
This,sciq,polymerization,fermentation,0.3013
As,sciq,surface area,density,0.4912
Arachnids,sciq,arachnids,spiders,0.2365
Some,sciq,vitamin d,B-complex,0.2651
When,sciq,asexual reproduction,mutation,0.3539
Science Fact,sciq,seawater,oxygen,0.2799
Viruses,sciq,proteins,lipids,0.4192
Bromine,synthetic,Br,Po,0.4544
18.1,sciq,sexual reproduction,natural reproduction,0.3661
The,sciq,gas laws,air laws,0.4041
The,sciq,troposphere,ionosphere,0.4931
Emma,popqa,Jane Austen,Emma Bull,0.2509
Dubicze Osoczne,popqa,Poland,North Korea,0.3526
Singapore,synthetic,Singapore,Windhoek,0.4271
There,sciq,seismic waves,tidal waves,0.4082
Sircilla,popqa,India,Kenya,0.4597
Founder,sciq,founder effect,outsider effect,0.4839
Proteins,sciq,amino acids,organic acids,0.3912
Shichikashuku,counterfact, Japan, Philippines,0.2633
The,sciq,rate law,decay law,0.4177
The,sciq,sea level,stratosphere,0.3231
specialized,sciq,photosynthesis,pollination,0.2509
Diseases,sciq,endocrine,Pituitary,0.2163
Figure,sciq,limbs,organs,0.4858
In,sciq,organic compounds,inorganic compounds,0.2227
Gravity,sciq,gravity,friction,0.2852
Belgium,synthetic,Brussels,Pretoria,0.1911
The,sciq,coriolis,centripetal force,0.4796
Pelabuhanratu,popqa,Indonesia,Moldova,0.2365
In,sciq,hemoglobin,molecule,0.2402
Waltteri Immonen,popqa,ice hockey,camogie,0.217
canton of Harnes,popqa,Harnes,Amherst,0.3658
A,sciq,electrons,neutrons,0.2509
In,sciq,chloroplasts,cell wall,0.1364
Jauldes,popqa,France,Madagascar,0.3862
Idaho,synthetic,Boise,Jefferson City,0.2526
Brunei Barracudas,popqa,basketball,speed skating,0.2509
Reptiles,sciq,scales,pores,0.2509
All,sciq,multicellular,monocellular,0.2621
25.10,sciq,kidneys,lungs,0.4232
The,sciq,chemical sedimentary rocks,shale,0.3442
Lambunao,counterfact, Philippines, Belgium,0.4066
Kingdom of Saxony,counterfact, Europe, Antarctica,0.4726
Cell,sciq,cell membrane,cell wall,0.2509
Izvorul Morarului River,popqa,Romania,Mozambique,0.2785
Adolphe Schneider,counterfact, French, Russian,0.2496
An,sciq,element,molecule,0.4909
Sonnet 109,popqa,William Shakespeare,Maggie O'Farrell,0.3871
Echinoderms,sciq,echinodermata,annelida,0.4568
What,sciq,melatonin,serotonin,0.2882
Into the Woods,popqa,Stephen Sondheim,Herodotos,0.3156
Birmingham City F.C.,counterfact, Birmingham, Christmas,0.418
Ecology,sciq,ecology,scientology,0.4435
 Thai Rath,counterfact, Thai, Finnish,0.2871
Muhammad Tahir-ul-Qadri,counterfact, Islam, Buddhism,0.4366
Graphite,sciq,graphite,carbonite,0.3508
A:,sciq,potential energy,kinetic energy,0.305
chlorine,sciq,salt,iron,0.3088
Science Fact,sciq,genetics,geneology,0.2146
Villers-sous-Foucarmont,popqa,France,Benin,0.1906
Maintaining,sciq,energy,fuel,0.4783
Salamanders,sciq,liver,kidney,0.3764
Bone,sciq,the osteon,the boron,0.3213
Johan Huizinga,counterfact, history, sociology,0.2509
Actinium,synthetic,Ac,Po,0.3436
Alabama State University,counterfact, Alabama, Cambridge,0.3456
This,sciq,fertilization,absorption,0.3208
 Ethan Wayne,counterfact, actor, mathematician,0.4478
A:,sciq,magma,igneous,0.3371
The Sun Also Rises,synthetic,Ernest Hemingway,John Milton,0.4484
A,sciq,multicellular organism,single-celled organism,0.2955
Before,sciq,potential energy,mechanical energy,0.2509
Some,sciq,antennae,thorax,0.2509
The,sciq,epidermis,scale,0.225
Carl Hagelin,popqa,ice hockey,bodybuilding,0.3285
Some,sciq,irreversible,permanent,0.2736
The,sciq,potassium ions,nitrogen ions,0.3089
James VII and II,counterfact, England, Italy,0.4483
"Gypsum,",sciq,sedimentary,basalt,0.3647
Metalloids,sciq,metalloids,noble gases,0.3589
Electricity,sciq,magnetic,light,0.4202
Glaciers,sciq,erosion,climate change,0.325
When,sciq,helium,carbon,0.4808
Life,sciq,biology,geology,0.304
Symbiosis,sciq,symbiosis,endosymbiosis,0.2509
33.3,sciq,homeostasis,homogeneity,0.3355
Clan Cumming,counterfact, Scotland, Shanghai,0.3249
Most,sciq,the sun,plants,0.4275
Ernie Davis,counterfact, football, hockey,0.2728
Diseases,sciq,hormone,enzyme,0.486
A,sciq,punnett square,periodic square,0.4119
All,sciq,cells,proteins,0.2953
The Clouds,popqa,Aristophanes,Robert Cormier,0.2509
Another,sciq,bioluminescence,apoptosis,0.3947
1976 Swedish general election,popqa,Sweden,Mozambique,0.3144
Acceleration,sciq,acceleration,transmission,0.3587
4.,sciq,pathogens,allergies,0.2509
Pakicetus,sciq,whales,rodents,0.3366
Most,sciq,exoskeleton,endoplate,0.4698
Blood,sciq,renal artery,main artery,0.3442
If,sciq,toxic shock,Vaginismis,0.2259
Ovulation,sciq,menstrual,life,0.3545
Levice District,popqa,Levice,Ankara,0.2931
16.2,sciq,digestion and absorption,secrete and absorption,0.3795
Sahneh County,counterfact, Iran, Singapore,0.4699
Mississippi,synthetic,Jackson,Montgomery,0.2602
The,sciq,larynx,pharynx,0.3934
Israel,synthetic,Jerusalem,Ngerulmud,0.3426
Note,sciq,atom,lattice,0.2509
Bundesautobahn 48,counterfact, Germany, Poland,0.4601
Endocrine,sciq,insulin,estrogen,0.284
What,sciq,electromagnetic,seismic,0.3912
Some,sciq,bones,lungs,0.3519
produced,sciq,ph,calcium,0.4641
The,sciq,earth,Saturn,0.2509
